"REG","Région","DEP","CODARR","CODCAN","CODCOM","COM","Commune","PMUN","PCAP","PTOT"
32,"Hauts-de-France","59",5,18,648,"59648","Wattignies",15531,204,15735
32,"Hauts-de-France","60",4,12,139,"60139","Chambly",9980,122,10102
32,"Hauts-de-France","60",4,3,141,"60141","Chantilly",10652,237,10889
32,"Hauts-de-France","60",2,5,157,"60157","Clermont",10475,217,10692
32,"Hauts-de-France","60",4,9,176,"60176","Crépy-en-Valois",14217,277,14494
32,"Hauts-de-France","60",1,12,395,"60395","Méru",14320,190,14510
32,"Hauts-de-France","60",4,13,414,"60414","Montataire",13701,144,13845
32,"Hauts-de-France","60",3,17,471,"60471","Noyon",12987,228,13215
32,"Hauts-de-France","60",4,18,509,"60509","Pont-Sainte-Maxence",12291,130,12421
32,"Hauts-de-France","60",4,20,612,"60612","Senlis",15255,550,15805
28,"Normandie","61",2,98,6,"61006","Argentan",13291,368,13659
28,"Normandie","61",2,99,169,"61169","Flers",14482,339,14821
32,"Hauts-de-France","62",2,5,48,"62048","Auchel",10062,43,10105
32,"Hauts-de-France","62",7,8,65,"62065","Avion",17672,135,17807
32,"Hauts-de-France","62",4,10,108,"62108","Berck",13298,337,13635
32,"Hauts-de-France","62",7,17,186,"62186","Bully-les-Mines",12221,75,12296
32,"Hauts-de-France","62",7,21,215,"62215","Carvin",17852,96,17948
32,"Hauts-de-France","62",7,21,250,"62250","Courrières",10199,100,10299
32,"Hauts-de-France","62",4,24,318,"62318","Étaples",10930,127,11057
32,"Hauts-de-France","62",7,26,413,"62413","Harnes",12317,88,12405
32,"Hauts-de-France","62",2,31,516,"62516","Lillers",9988,99,10087
32,"Hauts-de-France","62",5,32,525,"62525","Longuenesse",10568,467,11035
32,"Hauts-de-France","62",6,34,548,"62548","Marck",10494,133,10627
32,"Hauts-de-France","62",7,8,570,"62570","Méricourt",11431,49,11480
32,"Hauts-de-France","62",2,35,617,"62617","Nœux-les-Mines",11520,48,11568
32,"Hauts-de-France","62",7,27,637,"62637","Oignies",10210,45,10255
32,"Hauts-de-France","62",3,36,643,"62643","Outreau",13270,145,13415
32,"Hauts-de-France","62",3,14,758,"62758","Saint-Martin-Boulogne",10999,154,11153
32,"Hauts-de-France","62",5,37,765,"62765","Saint-Omer",14661,602,15263
84,"Auvergne-Rhône-Alpes","63",2,3,14,"63014","Aubière",10211,156,10367
84,"Auvergne-Rhône-Alpes","63",2,4,32,"63032","Beaumont",10650,197,10847
84,"Auvergne-Rhône-Alpes","63",2,8,75,"63075","Chamalières",17454,523,17977
84,"Auvergne-Rhône-Alpes","63",2,17,164,"63164","Gerzat",10258,97,10355
84,"Auvergne-Rhône-Alpes","63",3,18,178,"63178","Issoire",15014,375,15389
84,"Auvergne-Rhône-Alpes","63",2,24,284,"63284","Pont-du-Château",12459,327,12786
84,"Auvergne-Rhône-Alpes","63",4,25,300,"63300","Riom",18736,759,19495
84,"Auvergne-Rhône-Alpes","63",5,30,430,"63430","Thiers",11633,364,11997
75,"Nouvelle-Aquitaine","64",3,8,129,"64129","Billère",13866,214,14080
75,"Nouvelle-Aquitaine","64",1,10,260,"64260","Hendaye",17796,458,18254
75,"Nouvelle-Aquitaine","64",3,11,348,"64348","Lons",13915,273,14188
75,"Nouvelle-Aquitaine","64",2,98,422,"64422","Oloron-Sainte-Marie",10616,657,11273
75,"Nouvelle-Aquitaine","64",3,16,430,"64430","Orthez",10684,638,11322
75,"Nouvelle-Aquitaine","64",1,24,483,"64483","Saint-Jean-de-Luz",14601,406,15007
75,"Nouvelle-Aquitaine","64",1,10,545,"64545","Urrugne",10543,161,10704
76,"Occitanie","65",1,98,286,"65286","Lourdes",13509,295,13804
76,"Occitanie","66",1,5,8,"66008","Argelès-sur-Mer",10792,296,11088
76,"Occitanie","66",2,8,28,"66028","Cabestany",10338,216,10554
