"REG" "Région" "DEP" "CODARR" "CODCAN" "CODCOM" "COM" "Commune" "PMUN" "PCAP" "PTOT" "Physiologique" "Sécurité" "Appartenance" "Estime" "Actualisation.de.soi" "Cognitif" "latitude" "longitude"
"170" 84 "Auvergne-Rhône-Alpes" "42" 3 1 5 "42005" "Andrézieux-Bouthéon" 10187 153 10340 54 67 20 75 115 105 45.5250887 4.2594811
"171" 84 "Auvergne-Rhône-Alpes" "42" 3 15 44 "42044" "Le Chambon-Feugerolles" 12066 82 12148 162 201 24 25 0 0 45.3966333 4.3247719
"172" 84 "Auvergne-Rhône-Alpes" "42" 3 6 95 "42095" "Firminy" 17137 160 17297 162 268 44 125 69 175 45.3869665 4.2858597
"173" 84 "Auvergne-Rhône-Alpes" "42" 1 7 147 "42147" "Montbrison" 16064 571 16635 216 134 16 320 161 210 45.6072875 4.0627318
"174" 84 "Auvergne-Rhône-Alpes" "42" 2 12 184 "42184" "Riorges" 11045 216 11261 108 67 4 20 23 140 46.0437504 4.0337193
"175" 84 "Auvergne-Rhône-Alpes" "42" 3 10 186 "42186" "Rive-de-Gier" 15214 134 15348 108 134 12 40 23 140 45.5288401 4.6187386
"176" 84 "Auvergne-Rhône-Alpes" "42" 1 20 279 "42279" "Saint-Just-Saint-Rambert" 15419 245 15664 162 268 28 40 46 70 45.4994639 4.2423759
"177" 84 "Auvergne-Rhône-Alpes" "43" 2 99 157 "43157" "Le Puy-en-Velay" 18629 810 19439 216 469 8 305 92 560 45.0459739 3.8855537
"178" 52 "Pays de la Loire" "44" 5 1 3 "44003" "Ancenis-Saint-Géréon" 11099 389 11488 108 134 20 145 92 35 47.3817908 -1.1957984
"179" 52 "Pays de la Loire" "44" 5 3 15 "44015" "Blain" 10187 173 10360 54 201 12 25 46 70 47.4755536 -1.7643647
