"REG";"Région";"DEP";"CODARR";"CODCAN";"CODCOM";"COM";"Commune";"PMUN";"PCAP";"PTOT";"Physiologique";"Sécurité";"Appartenance";"Estime";"Actualisation.de.soi";"Cognitif"
53;"Bretagne";"35";3;4;47;"35047";"Bruz";19651;467;20118;162;134;0;25;23;175
53;"Bretagne";"35";3;3;51;"35051";"Cesson-Sévigné";17716;496;18212;378;201;0;135;92;175
53;"Bretagne";"35";3;20;55;"35055";"Chantepie";10232;159;10391;54;67;0;40;184;70
53;"Bretagne";"35";3;5;69;"35069";"Châteaugiron";10518;262;10780;54;134;4;40;0;35
53;"Bretagne";"35";4;26;93;"35093";"Dinard";10219;534;10753;54;201;0;190;69;105
53;"Bretagne";"35";3;23;210;"35210";"Pacé";11918;339;12257;108;134;0;95;46;70
53;"Bretagne";"35";3;22;281;"35281";"Saint-Jacques-de-la-Lande";13656;126;13782;162;67;4;5;0;245
53;"Bretagne";"35";1;27;360;"35360";"Vitré";18998;555;19553;162;201;0;235;92;175
24;"Centre-Val de Loire";"36";4;9;88;"36088";"Issoudun";10992;240;11232;108;268;4;35;23;35
24;"Centre-Val de Loire";"37";3;1;3;"37003";"Amboise";12938;392;13330;54;201;8;80;23;245
24;"Centre-Val de Loire";"37";2;10;50;"37050";"Chambray-lès-Tours";11589;241;11830;270;268;8;185;322;140
24;"Centre-Val de Loire";"37";2;12;109;"37109";"Fondettes";10741;498;11239;108;134;4;0;0;70
24;"Centre-Val de Loire";"37";2;10;156;"37156";"Montlouis-sur-Loire";11048;165;11213;54;201;4;5;92;70
24;"Centre-Val de Loire";"37";2;2;195;"37195";"La Riche";10325;109;10434;108;134;0;25;23;0
24;"Centre-Val de Loire";"37";2;14;208;"37208";"Saint-Avertin";15000;340;15340;270;134;8;5;46;35
24;"Centre-Val de Loire";"37";2;12;214;"37214";"Saint-Cyr-sur-Loire";17004;346;17350;162;335;8;30;92;70
24;"Centre-Val de Loire";"37";2;14;233;"37233";"Saint-Pierre-des-Corps";15909;268;16177;162;67;8;130;23;140
84;"Auvergne-Rhône-Alpes";"38";2;4;85;"38085";"Charvieu-Chavagneux";10280;88;10368;54;67;4;0;0;35
84;"Auvergne-Rhône-Alpes";"38";2;14;193;"38193";"L'Isle-d'Abeau";17206;235;17441;378;67;12;125;69;70
84;"Auvergne-Rhône-Alpes";"38";1;16;229;"38229";"Meylan";18573;349;18922;324;201;12;35;92;175
84;"Auvergne-Rhône-Alpes";"38";1;20;317;"38317";"Le Pont-de-Claix";10805;86;10891;216;67;12;0;0;70
84;"Auvergne-Rhône-Alpes";"38";1;10;382;"38382";"Saint-Égrève";16995;221;17216;270;67;8;65;207;280
84;"Auvergne-Rhône-Alpes";"38";1;7;474;"38474";"Sassenage";11660;203;11863;108;67;8;5;23;140
84;"Auvergne-Rhône-Alpes";"38";1;6;485;"38485";"Seyssinet-Pariset";11753;131;11884;162;67;4;20;46;70
84;"Auvergne-Rhône-Alpes";"38";2;14;553;"38553";"Villefontaine";19083;250;19333;432;0;4;280;207;35
27;"Bourgogne-Franche-Comté";"39";2;99;300;"39300";"Lons-le-Saunier";17043;844;17887;270;402;12;265;46;455
75;"Nouvelle-Aquitaine";"40";2;7;46;"40046";"Biscarrosse";14551;358;14909;108;67;8;180;345;105
75;"Nouvelle-Aquitaine";"40";1;5;279;"40279";"Saint-Paul-lès-Dax";14317;461;14778;54;134;4;160;138;35
75;"Nouvelle-Aquitaine";"40";1;15;312;"40312";"Tarnos";12920;305;13225;162;67;4;20;46;70
24;"Centre-Val de Loire";"41";3;10;194;"41194";"Romorantin-Lanthenay";18115;454;18569;162;134;12;110;115;70
24;"Centre-Val de Loire";"41";2;14;269;"41269";"Vendôme";15747;630;16377;162;335;8;170;138;210
84;"Auvergne-Rhône-Alpes";"42";3;1;5;"42005";"Andrézieux-Bouthéon";10187;153;10340;54;67;20;75;115;105
84;"Auvergne-Rhône-Alpes";"42";3;15;44;"42044";"Le Chambon-Feugerolles";12066;82;12148;162;201;24;25;0;0
84;"Auvergne-Rhône-Alpes";"42";3;6;95;"42095";"Firminy";17137;160;17297;162;268;44;125;69;175
84;"Auvergne-Rhône-Alpes";"42";1;7;147;"42147";"Montbrison";16064;571;16635;216;134;16;320;161;210
84;"Auvergne-Rhône-Alpes";"42";2;12;184;"42184";"Riorges";11045;216;11261;108;67;4;20;23;140
84;"Auvergne-Rhône-Alpes";"42";3;10;186;"42186";"Rive-de-Gier";15214;134;15348;108;134;12;40;23;140
84;"Auvergne-Rhône-Alpes";"42";1;20;279;"42279";"Saint-Just-Saint-Rambert";15419;245;15664;162;268;28;40;46;70
84;"Auvergne-Rhône-Alpes";"43";2;99;157;"43157";"Le Puy-en-Velay";18629;810;19439;216;469;8;305;92;560
52;"Pays de la Loire";"44";5;1;3;"44003";"Ancenis-Saint-Géréon";11099;389;11488;108;134;20;145;92;35
52;"Pays de la Loire";"44";5;3;15;"44015";"Blain";10187;173;10360;54;201;12;25;46;70
52;"Pays de la Loire";"44";5;6;36;"44036";"Châteaubriant";12189;440;12629;108;201;28;115;92;70
52;"Pays de la Loire";"44";3;2;55;"44055";"La Baule-Escoublac";16468;566;17034;108;268;16;545;115;350
